,Id,Title,Year,ImdbLink,IMDBScore,FirstGenre,SecondGenre,ThirdGenre,Director,FirstLeadingActor,SecondLeadingActor,ThirdLeadingActor,Poster
5194,5195,Ta hronika tou Drakofoinika: Adamastos (2013),2013,http://www.imdb.com/title/tt02182163,6.1,Action,Adventure,Fantasy,Thanos Kermitsis,Yannis Rubus Rubulias,Constantina Georganta,Georgia Giannakoudi,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MDE5MTQyMV5BMl5BanBnXkFtZTgwMjg5NzUyNDE@._V1_UY268_CR3,0,182,268_AL_.jpg"
5195,5196,Inescapable (2012),2012,http://www.imdb.com/title/tt01844203,5.2,Action,Drama,Mystery,Ruba Nadda,Alexander Siddig,Joshua Jackson,Marisa Tomei,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMjIzOTA1NF5BMl5BanBnXkFtZTcwMDEwMDcwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5196,5197,Repeaters (2010),2010,http://www.imdb.com/title/tt01580426,5.8,Action,Crime,Drama,Carl Bessai,Dustin Milligan,Amanda Crew,Richard de Klerk,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMDEzNzU4Ml5BMl5BanBnXkFtZTcwMDYxODI1Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5197,5198,Nebraska (2013),2013,http://www.imdb.com/title/tt01821549,7.7,Adventure,Comedy,Drama,Alexander Payne,Bruce Dern,Will Forte,June Squibb,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2Mjk2NDkyMl5BMl5BanBnXkFtZTgwNTk0NzcyMDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5198,5199,Enough Said (2013),2013,http://www.imdb.com/title/tt02390361,7.1,Comedy,Drama,Romance,Nicole Holofcener,Julia Louis-Dreyfus,James Gandolfini,Catherine Keener,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI2MjIwMDk2Ml5BMl5BanBnXkFtZTcwNTQ1MzQ5OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5199,5200,Don Jon (2013),2013,http://www.imdb.com/title/tt02229499,6.6,Comedy,Drama,Romance,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Scarlett Johansson,Julianne Moore,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNTc3NDM2MF5BMl5BanBnXkFtZTcwNzQ5NTQ3OQ@@._V1._CR28,28.649993896484375,1271,1991.0000305175781_UX182_CR0,0,182,268_AL_.jpg"
5200,5201,Zambezia (2012),2012,http://www.imdb.com/title/tt01488181,5.8,Animation,Adventure,Comedy,Wayne Thornley,Leonard Nimoy,Jeremy Suarez,Abigail Breslin,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTEyNzE5MDc3NF5BMl5BanBnXkFtZTcwNjA3MzAxOA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5201,5202,Crystal Fairy & the Magical Cactus and 2012 (2013),2013,http://www.imdb.com/title/tt02332579,5.8,Adventure,Comedy,Romance,SebastiĂˇn Silva,Michael Cera,Gaby Hoffmann,Juan AndrĂ©s Silva,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3Mjk5NjUxNF5BMl5BanBnXkFtZTcwMTk3OTA4OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5202,5203,I Will Follow You Into the Dark (2012),2012,http://www.imdb.com/title/tt02179087,4.6,Drama,Horror,Romance,Mark Edwin Robinson,Mischa Barton,Ryan Eggold,Leah Pipes,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNzY1MzU5MV5BMl5BanBnXkFtZTgwODQ5MTIzMDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5203,5204,Wasteland (2012),2012,http://www.imdb.com/title/tt01981140,6.6,Crime,Drama,Thriller,Rowan Athale,Vanessa Kirby,Iwan Rheon,Matthew Lewis,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2ODYyNDM5OV5BMl5BanBnXkFtZTcwNDMyODk3OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
